Arrival Time,Request ID,Origin,Destination,Load,Duration (min),Distance(Km),Fuel,Cost(€)
Mon Jun 07 16:09:24 WEST 2021,200009,3,11,8,35,13.52,2.4336002,0.389376
Mon Jun 07 16:44:24 WEST 2021,200011,11,77,5,35,7.95,1.749,0.27984
Mon Jun 07 17:50:24 WEST 2021,200012,77,114,3,66,12.04,2.9498,0.471968
Mon Jun 07 19:21:24 WEST 2021,100007,114,63,6,91,13.54,3.5204,0.563264
