Arrival Time,Request ID,Origin,Destination,Load,Duration (min),Distance(Km),Fuel,Cost(€)
Mon Jun 07 16:07:24 WEST 2021,100001,3,80,5,26,8.68,1.5624001,0.24998401
Mon Jun 07 16:45:24 WEST 2021,100002,80,96,3,38,6.11,1.25255,0.200408
Mon Jun 07 17:51:24 WEST 2021,100005,96,57,5,66,13.32,2.9304,0.46886396
Mon Jun 07 18:31:24 WEST 2021,200014,57,117,2,40,9.4,2.303,0.36848
Mon Jun 07 19:15:24 WEST 2021,100008,117,13,2,44,12.43,3.16965,0.507144
